,Nth day,0000,0001,0002,0003,0004,0005,0006,0007,0008,0009,0010,0011,0012,0013,0014,0015,0016,0017,0018,0019,0020,0021,0022,0023,0024,0025,0026,0027,0028,0029,0030,0031,0032,0033,0034,0035,0036,0037,0038,0039,0040,0041,0042,0043,0044,0045,0046,0047,0048,0049,0050,0051,0052,0053,0054,0055,0056,0057,0058,0059,0060,0061,0062,0063,0064,0065,0066,0067
Page path and screen class,Segment,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions
/sta/trusses/,All Users,92,1,6,14,6,26,23,26,1,2,2,1,2,1,0,2,5,12,22,49,69,61,0,0,2,0,1,0,2,0,1,0,1,1,0,0,0,3,0,0,1,5,1,0,0,3,1,1,2,1,0,0,1,1,0,1,0,0,0,1,0,13,0,0,0,0,0,0
/sol/axial_loading/,All Users,5,1,1,1,8,2,3,0,0,2,2,2,2,7,7,12,2,2,0,2,3,2,5,2,2,3,4,6,3,0,1,4,1,0,0,1,0,2,4,2,5,0,4,8,7,8,29,34,53,53,51,58,39,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
/sol/buckling/,All Users,1,1,2,1,1,0,3,1,0,1,0,1,0,2,2,0,1,0,2,2,2,0,0,2,1,3,1,2,1,1,2,0,0,1,0,2,0,1,8,4,22,7,12,3,10,21,40,51,40,53,32,42,62,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0
/sta/friction/,All Users,5,1,1,5,7,4,7,8,4,6,15,10,27,8,4,0,9,9,18,48,113,95,0,2,1,4,2,2,5,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,7,0,0,0,0,0,0
/sol/stress/,All Users,6,4,3,1,10,9,3,2,3,3,4,7,5,4,9,6,3,4,4,8,5,2,4,1,5,3,6,6,10,0,1,2,1,1,0,1,0,2,4,4,7,7,9,5,6,18,20,30,30,50,28,36,24,1,1,2,1,1,1,0,0,0,0,1,0,0,1,0
/sol/material_properties/,All Users,3,1,0,2,4,0,1,1,2,2,1,1,2,3,3,2,2,1,0,3,5,6,4,2,1,3,2,4,3,0,0,3,2,0,1,1,0,0,5,2,4,1,3,5,5,13,28,34,44,57,49,51,36,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
/sta/vectors_scalars/,All Users,4,1,0,1,2,2,0,1,0,1,1,2,2,4,7,9,16,32,33,58,95,73,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,2,0,1,2,1,0,1,1,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0
/sta/force_systems/,All Users,13,3,4,6,3,18,4,4,0,0,2,1,5,0,2,6,16,13,35,45,76,56,0,1,2,1,4,1,5,0,0,0,1,0,2,0,0,0,0,0,2,3,1,0,0,4,0,1,3,1,0,0,1,1,0,0,0,0,0,0,1,14,0,0,0,0,0,0
/sta/reaction_forces/,All Users,27,1,3,6,3,19,5,11,2,0,1,5,9,0,2,1,9,11,29,43,52,48,1,0,2,3,4,1,4,0,0,0,1,0,3,0,1,2,0,0,2,1,1,1,0,6,1,1,1,1,3,0,1,2,2,2,0,0,0,2,0,12,1,0,1,0,2,0
/sol/strain/,All Users,5,1,3,0,2,1,0,2,1,1,0,0,4,0,5,3,1,1,1,1,4,0,3,0,0,0,3,3,2,0,0,4,2,0,1,1,0,3,4,4,5,3,4,5,4,18,25,24,38,48,41,38,14,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0
